,CLX,CMC,CAR,AVID,PEP,FLS,ANF,OSK,VVI,EXTR,PRGS,DELL,GNW,JAKK,PLUG,RDNT,DSPG,ITW,MLM,VMC,LEN,PTX,SCOR,AXAS,GTS,NBR,HPE,TKR,RGS,MDRX,QEP,IDTI,USAK,NFLX,SUPN,CACC,WRLD,CPF,IRDM,XOMA,HOLX,DSPG,CACI,IR,LEA,HA,AAPL,HOLX,LNN,PEP,NSP,CHS,NMIH,RIG,DRI,FNF,MPC,BGFV,LEN,WMB,NUAN,SIGM,CNMD,FOE,FORR,STC,RDN,LHCG,OCLR,DELL,CASH,KMT,PFSI,TUES,ICPT
0,64.0,13.45,13.085,14.28,68.31,134.76,40.87,27.24,27.42,3.29,23.32,13.82,12.59,6.59,3.1,1.92,8.75,78.59,118.48,66.33,38.53,6.33,30.92,5.14,18.47,26.11,14.4,45.63,14.13,12.445,24.52,20.84,23.24,613.25,13.13,230.24,85.0,23.11,6.94,0.83,42.45,9.12,80.46,56.86,125.68,39.77,96.04,34.49,77.64,99.58,66.78,11.09,7.43,10.49,61.63,33.25,43.31,16.05,46.46,28.2,16.96,6.5,42.94,17.08,38.8,41.58,,,,,,,,,
1,67.14,13.62,13.28,13.99,70.19,139.45,44.4,30.99,27.25,3.46,24.17,13.81,12.28,6.29,3.78,1.98,8.6,81.48,117.28,65.73,40.54,6.59,32.56,5.58,18.57,25.29,13.39,45.65,14.65,12.425,25.33,20.64,23.38,621.87,13.44,235.1,84.22,23.55,6.69,0.7817,39.74,8.595,78.47,58.7,125.82,42.64,96.91,35.08,72.33,98.36,71.1,10.78,8.11,10.09,61.19,33.42,48.2,13.4,47.43,27.97,17.05,6.2,42.65,17.07,40.6,41.31,,,,,,,,,
2,68.59,13.64,12.79,14.38,70.21,138.55,45.89,29.35,27.62,3.46,23.6,13.77,11.8,6.46,3.63,1.94,8.46,82.5,121.98,67.93,40.9,7.11,31.23,6.23,19.14,27.21,14.21,45.29,15.11,12.02,20.44,19.835,23.04,624.06,14.22,230.42,81.57,24.36,7.18,0.8639,39.76,8.55,75.84,58.53,126.0,45.76,103.01,34.75,75.01,100.0,71.17,11.31,8.0,9.63,62.33,31.79,47.8,13.5,49.9,29.65,17.17,5.85,44.41,17.37,40.6,39.71,,,,,,,,,
3,67.48,13.44,13.61,14.22,70.26,141.9,46.39,27.95,27.44,3.56,23.51,13.84,12.13,6.27,4.67,2.82,9.4,82.78,123.92,68.85,41.68,6.86,33.34,6.14,18.98,25.31,14.35,45.0,16.88,12.07,22.24,20.45,23.9,633.22,15.43,222.94,77.3,23.42,6.88,0.794,38.53,8.85,77.31,58.43,121.35,45.35,102.26,35.14,76.1,101.31,72.24,10.87,7.65,9.83,61.45,34.3,49.44,15.45,52.72,28.92,16.91,5.95,44.99,18.26,40.2,40.93,,,,,,,,,
4,69.47,14.08,14.285,14.7,70.16,142.16,46.78,28.39,26.56,3.47,23.33,13.85,12.23,6.21,8.27,2.76,8.89,80.29,122.3,66.23,40.18,7.26,35.1,5.85,18.52,24.13,15.22,45.18,17.02,11.51,19.37,21.53,23.25,660.93,18.1,222.0,78.23,23.33,6.775,0.7815,40.11,8.94,75.39,54.56,122.59,45.85,105.92,34.48,77.59,101.29,75.0,11.1,7.9,9.16,61.95,34.39,50.11,15.0,52.83,28.57,16.95,6.0,45.21,18.15,39.55,40.72,,,,,,,,,
5,69.4,14.07,14.15,14.0,69.63,144.25,47.37,29.14,26.76,3.53,22.98,13.88,12.15,6.64,6.71,2.86,8.65,80.76,126.49,66.11,40.68,8.63,35.95,5.67,19.12,23.89,14.18,44.88,16.95,12.74,20.53,19.785,24.39,657.1,16.59,226.8,80.6,23.67,6.86,0.81,41.61,8.63,76.99,52.62,124.78,46.28,105.67,34.35,76.74,100.68,74.24,10.49,7.73,9.1,63.05,34.02,50.78,15.6,51.04,28.69,16.68,5.95,47.34,17.83,40.4,43.05,,,,,,,,,
6,66.33,14.82,14.15,13.91,68.02,142.86,45.76,28.57,27.66,3.53,21.56,13.78,12.93,6.47,5.94,2.74,8.62,80.76,126.95,66.39,41.59,9.0,35.34,5.805,19.68,23.24,14.16,43.24,16.45,13.14,19.59,19.75,21.62,651.62,16.65,234.03,61.38,23.08,6.41,0.8109,40.0,9.22,74.57,55.63,122.83,46.02,109.99,34.6,69.51,103.78,74.33,10.96,7.62,10.66,61.32,33.96,50.35,14.55,51.19,29.59,17.31,6.25,49.16,18.29,41.85,43.78,,,,,,,,,
7,66.53,14.55,14.01,12.96,69.46,153.54,47.41,32.6,25.23,3.44,23.01,13.84,12.89,6.72,6.9,3.47,8.48,83.57,127.7,66.33,41.93,9.16,38.78,4.96,19.92,21.15,15.02,41.29,15.81,12.85,19.99,20.26,19.6,658.31,16.75,261.14,61.21,23.29,6.12,0.99,39.42,9.12,81.6,55.29,107.14,48.2,108.66,35.37,67.78,105.08,76.66,11.13,7.6,10.12,61.63,34.44,50.37,15.1,50.68,30.35,16.89,5.5,50.44,18.26,43.35,,,,,,,,,,
8,68.1,14.47,12.66,13.39,70.88,155.63,48.08,32.93,25.78,3.54,24.24,13.85,13.13,6.95,7.12,4.07,8.47,81.27,124.41,63.72,40.27,8.81,36.82,5.31,18.47,18.86,15.2,38.5,15.0,12.67,19.93,20.05,21.89,680.6,18.07,250.6,59.32,22.52,6.83,0.9929,37.28,9.38,82.02,51.31,103.48,50.17,109.85,36.17,71.97,103.77,76.74,11.57,7.98,9.7,62.23,33.65,48.38,15.35,51.79,30.06,16.38,5.6,51.05,18.87,43.95,,,,,,,,,,
9,69.56,14.17,12.29,14.12,72.48,157.31,49.75,33.74,24.15,3.58,25.16,13.83,13.89,6.35,7.29,4.41,8.62,84.21,125.55,64.75,39.43,8.38,37.01,5.49,19.71,17.74,13.54,39.51,15.35,12.35,19.89,18.405,20.71,114.77,20.15,233.64,58.31,22.49,6.85,0.9794,37.85,9.47,84.97,51.74,101.45,44.0,105.68,37.44,76.96,101.98,79.06,11.57,8.11,10.5,63.07,34.01,48.76,15.2,52.01,30.01,17.03,6.25,49.72,18.67,43.85,,,,,,,,,,
10,66.23,14.69,13.14,14.74,72.49,154.47,50.59,41.08,25.42,3.91,25.51,13.84,14.25,6.21,7.32,4.77,8.27,84.47,123.64,64.07,38.43,8.49,36.93,5.48,20.77,18.73,12.54,41.57,15.88,12.66,20.25,18.76,19.17,109.34,20.11,228.44,51.87,21.23,7.2,1.05,36.96,9.76,97.04,50.46,103.83,42.07,93.74,33.59,76.46,102.96,81.6,12.01,7.65,10.21,62.61,34.74,49.08,16.55,50.5,30.63,17.89,6.2,50.79,19.03,45.2,,,,,,,,,,
11,65.0,14.13,15.9,15.68,72.67,156.02,51.07,39.77,25.61,4.05,25.89,13.86,14.46,5.76,5.37,4.95,8.66,85.43,126.25,65.15,36.16,6.79,36.21,5.91,22.14,17.85,13.35,42.99,16.98,11.91,20.22,20.475,19.56,114.31,21.21,240.21,54.42,20.43,8.21,1.22,38.86,10.1,100.59,51.47,98.59,42.18,92.72,33.72,70.73,104.96,78.49,11.75,8.2,9.67,63.86,36.56,48.16,15.4,49.79,30.25,18.09,6.2,52.26,19.56,45.7,,,,,,,,,,
12,65.63,13.33,16.09,15.7,72.6,157.74,50.62,39.51,26.03,4.12,25.67,31.3,14.33,5.52,4.5,6.48,8.49,86.23,118.91,59.92,36.64,6.71,36.79,5.73,22.69,17.7,13.76,43.5,16.79,12.2,21.92,21.975,19.64,123.52,17.6,231.18,50.27,20.38,8.11,1.23,40.26,10.1,95.98,51.34,100.71,41.62,90.52,33.75,69.68,104.18,68.42,11.61,8.95,10.37,70.12,37.07,50.14,14.8,50.39,30.32,19.12,6.3,52.06,18.76,44.95,,,,,,,,,,
13,64.67,12.16,13.59,14.63,73.68,159.95,50.96,39.76,25.31,4.08,25.39,31.3,14.54,5.96,3.72,5.96,8.4,85.63,119.33,60.43,36.94,7.16,39.19,5.26,23.02,16.59,13.2,42.87,17.5,11.8,22.59,22.62,21.0,123.39,17.44,206.67,33.69,20.95,7.45,1.36,39.66,9.86,98.79,51.32,103.32,41.31,95.22,33.34,67.27,100.1,67.29,11.86,9.05,11.21,72.84,37.64,50.02,13.8,52.15,30.2,18.86,6.15,50.92,18.76,45.5,,,,,,,,,,
