,ANF,MDRX,AVID,CAR,CLX,CMC,SCOR,DSPG,EXTR,FLS,GNW,HPE,ITW,JAKK,LEN,MLM,OSK,PEP,PRGS,QEP,RDNT,RGS,TKR,GTS,VVI,VMC
0,50.25,11.12,14.21,10.52,59.09,16.4,18.15,6.39,3.32,105.46,6.93,14.86,55.69,19.09,27.29,85.87,28.7,64.63,27.07,28.12,3.01,18.01,40.16,20.44,22.92,44.56
1,57.63,9.42,12.96,11.5,58.82,15.06,16.46,6.66,3.24,119.22,5.74,15.2,57.12,14.11,30.91,85.63,35.24,65.33,24.13,30.27,3.18,18.38,37.16,20.9,23.94,42.73
2,50.41,11.08,15.68,15.12,59.23,14.88,15.4,6.54,3.39,124.99,6.38,13.76,57.38,15.3,29.21,82.88,37.91,64.31,24.1,29.35,3.09,16.66,39.49,18.04,24.81,42.81
3,57.37,12.71,14.9,11.85,60.27,15.57,14.12,6.27,2.77,124.97,6.59,13.27,56.15,15.53,32.43,67.47,35.67,63.42,20.82,30.46,2.4,16.47,45.05,17.45,22.62,34.65
4,58.7,13.59,16.19,9.82,61.0,13.22,15.25,6.34,2.65,128.8,6.55,17.73,52.89,17.45,34.77,78.82,35.38,64.41,17.55,31.84,2.66,16.92,47.83,18.47,22.29,39.71
5,70.8,13.84,17.81,12.34,59.17,14.39,14.15,5.78,2.95,126.62,7.71,16.66,54.34,19.07,37.47,75.14,31.66,68.89,21.06,28.71,2.34,17.75,53.61,18.07,20.73,38.74
6,75.77,13.86,13.34,9.12,61.31,13.02,13.31,5.73,3.02,121.23,9.09,18.47,59.29,18.49,38.04,76.38,27.7,71.12,20.37,28.36,2.8,18.02,54.32,17.96,20.57,38.92
7,66.92,12.94,12.26,11.65,64.14,14.49,13.78,5.94,2.92,109.89,8.32,18.27,59.47,16.01,38.67,82.87,28.94,70.43,19.35,27.78,2.78,18.19,56.58,17.42,16.98,47.3
8,73.12,15.81,8.31,11.61,64.7,13.88,14.73,5.5,3.24,99.38,6.01,21.02,61.33,16.02,41.54,82.31,24.82,64.04,23.33,30.49,2.6,18.75,52.57,18.03,20.93,45.97
9,63.61,14.54,7.96,13.29,62.82,15.37,15.94,5.92,3.69,94.34,5.24,21.48,61.57,16.64,38.59,90.0,19.72,64.43,23.22,27.32,2.43,18.41,56.76,21.17,18.55,52.84
10,61.56,14.87,8.45,15.56,62.16,16.59,16.78,5.76,3.83,74.0,5.66,22.75,60.81,14.57,41.48,94.28,15.74,61.9,23.62,27.69,2.53,16.42,56.28,21.47,17.48,52.05
11,74.4,13.83,7.59,13.84,64.88,16.72,16.17,6.56,3.83,92.69,5.04,22.47,62.83,12.91,41.22,98.73,20.86,62.95,23.14,33.06,2.96,17.37,58.42,21.76,20.23,56.56
12,47.91,14.94,7.29,15.32,64.82,16.67,19.78,7.24,3.73,102.77,5.29,23.8,61.5,12.48,39.32,97.13,20.52,64.0,19.22,32.02,2.83,15.78,56.06,18.65,19.46,50.93
13,48.84,15.46,7.1,17.91,66.76,17.27,24.39,8.07,3.44,99.32,5.23,23.14,60.94,12.52,36.04,102.02,21.38,66.35,20.87,30.65,2.8,14.68,60.4,18.39,19.43,51.7
14,45.94,16.56,7.65,18.96,66.55,16.76,28.96,8.07,3.2,110.17,5.96,22.68,64.56,13.06,33.87,100.99,24.28,65.67,19.44,30.89,2.74,14.5,52.81,17.81,18.08,49.88
15,45.79,18.57,6.76,17.59,61.81,14.89,28.49,7.94,3.56,118.57,5.95,22.82,70.13,12.18,31.81,109.03,23.31,62.94,19.23,28.93,2.6,15.99,51.76,20.26,17.71,53.58
16,49.61,18.03,5.58,17.09,63.28,14.35,28.97,8.31,3.35,115.51,7.51,23.7,69.17,10.49,35.4,98.42,23.17,66.35,21.39,29.44,2.65,14.51,55.07,19.44,20.0,48.41
17,50.17,15.22,5.95,15.11,62.89,14.51,26.72,7.45,3.2699,114.93,9.17,18.63,72.04,10.91,35.55,99.6,22.83,66.0,19.7536,30.69,2.78,12.33,56.33,17.84,17.33,47.18
18,33.54,14.74,5.81,13.15,67.76,11.75,27.21,6.35,3.59,102.78,8.54,18.81,71.47,10.1,35.76,96.05,20.47,67.85,20.11,31.94,2.58,14.06,60.36,16.75,20.47,47.8
19,34.14,16.05,6.51,9.67,70.07,9.51,28.61,7.05,3.64,114.75,10.0,16.59,76.27,11.25,39.56,98.17,20.95,70.66,20.99,34.5,2.41,13.7,58.78,16.14,20.86,51.81
20,33.8,15.92,8.99,14.1,69.66,12.43,27.41,7.45,3.69,119.98,10.03,17.51,78.79,6.01,40.16,98.09,22.52,72.73,23.47,33.05,2.45,13.14,63.08,14.98,21.21,53.55
21,35.99,14.775,7.94,11.8,70.48,13.98,31.62,8.84,3.505,127.66,10.81,18.06,79.58,5.19,43.88,96.56,25.34,72.43,22.52,35.57,2.0,13.76,64.22,17.68,22.48,56.37
22,33.92,13.415,6.57,10.72,67.44,13.83,32.79,9.71,3.37,127.74,11.41,14.71,84.08,4.5,39.62,99.94,27.43,70.77,22.83,30.78,1.67,14.08,67.84,17.93,27.16,59.42
23,30.58,13.72,4.21,14.35,71.59,14.34,31.33,8.96,3.33,135.49,12.99,13.92,78.87,6.445,38.59,109.01,29.98,69.24,22.57,25.07,1.89,13.93,44.3,17.28,27.92,61.73
24,45.89,12.02,4.4,12.9,69.7,13.29,31.23,8.46,3.56,138.55,11.8,13.95,82.5,6.46,40.9,121.98,29.35,70.21,23.51,20.44,1.94,15.11,45.29,19.14,27.46,67.93
25,47.97,12.77,5.35,14.15,66.33,14.82,35.48,8.64,3.44,146.8,12.8,14.36,81.33,6.72,41.98,128.35,29.65,68.43,23.01,20.22,2.84,15.96,42.39,19.9,27.66,66.45
26,50.0,11.91,5.62,13.16,66.94,14.78,36.19,7.96,4.33,156.77,14.53,16.4,85.23,5.76,36.23,124.33,39.18,72.85,25.59,20.22,4.97,16.98,42.99,22.14,26.05,64.53
27,46.63,12.005,4.66,14.85,64.96,11.68,38.31,8.39,3.73,160.5,15.11,18.59,86.55,7.16,39.18,122.8,38.56,75.77,24.46,21.48,6.36,16.54,42.79,23.12,24.66,60.97
28,46.2,11.96,5.605,15.2,66.56,12.64,36.41,8.49,5.22,167.71,15.53,17.56,87.56,7.22,38.83,132.05,42.49,79.11,25.85,20.85,6.63,16.76,42.68,23.91,24.52,63.75
29,49.56,13.3,5.21,14.37,68.66,12.89,42.14,8.87,5.365,158.12,14.75,,82.37,8.76,43.08,124.23,39.26,82.47,25.97,22.5,5.11,15.75,38.01,24.08,24.05,63.13
30,50.08,14.07,5.26,16.42,67.61,12.74,43.97,8.98,6.95,168.13,15.54,,88.21,8.83,47.24,130.96,39.82,80.77,26.34,18.83,6.68,16.04,42.48,18.85,22.57,63.38
31,45.25,13.68,5.15,15.38,68.75,13.2,46.43,8.87,6.98,54.01,17.73,,84.42,7.74,44.81,128.94,37.97,81.79,25.83,18.51,6.62,16.36,42.14,19.88,24.95,60.23
32,49.87,14.46,4.41,16.53,70.1,13.76,41.56,9.69,7.32,56.68,17.85,,91.05,6.24,44.91,116.92,44.82,83.54,24.17,13.88,9.3,16.52,39.29,18.72,26.7,61.71
33,35.31,13.77,,18.94,68.8,13.55,51.59,10.82,5.73,55.79,16.99,,94.93,6.78,50.21,120.04,44.92,79.73,24.94,14.04,8.42,16.16,39.1,24.0,27.0,66.1
34,35.37,12.41,,19.82,72.46,14.86,51.2,10.87,5.8,62.39,17.4,,94.7,7.1,51.81,110.32,48.98,79.5,21.8,12.53,8.54,15.76,36.57,25.66,27.78,65.73
35,37.48,14.06,,21.53,72.71,16.65,52.36,10.99,5.72,69.47,13.1,,93.09,6.38,45.8,107.74,47.59,84.09,21.46,15.46,7.89,14.63,33.38,21.58,26.29,70.51
36,34.28,15.23,,23.37,72.75,16.31,56.58,11.29,3.98,71.38,14.19,,98.86,7.36,46.63,142.33,48.75,84.46,21.72,15.8,8.76,10.84,31.75,21.04,24.05,83.0
37,32.91,15.38,,27.83,72.05,15.85,53.26,11.98,4.44,78.83,13.1,,97.14,6.8,51.04,139.8,50.38,82.94,24.04,13.4,8.4,13.1,27.49,17.81,24.04,84.3
38,35.38,13.78,,28.84,72.3,14.62,58.5,11.38,4.7,72.33,13.99,,93.58,6.02,53.04,142.65,54.14,80.36,23.18,12.82,8.38,16.52,31.6,20.59,23.05,85.52
39,39.63,12.52,,33.16,76.35,15.42,52.21,11.18,5.33,81.21,9.09,,93.83,6.66,50.9,149.01,57.83,80.07,23.16,9.76,6.51,16.66,32.24,26.44,22.94,89.93
40,38.5,13.21,,28.75,73.22,14.77,46.15,10.33,4.79,78.34,8.5,,91.79,6.84,48.13,141.51,58.87,83.5,23.91,14.11,6.69,14.15,28.59,23.91,23.84,83.93
41,36.76,13.4,,31.64,78.41,15.49,42.78,8.73,3.59,73.05,6.98,,89.47,6.67,50.07,156.82,55.51,85.89,25.9,17.93,6.69,14.94,26.55,22.29,21.22,91.02
42,38.01,13.49,,26.77,84.01,14.88,42.1,8.75,3.62,73.74,7.75,,84.53,7.68,51.21,167.8,54.05,88.33,25.79,18.63,6.14,14.33,29.83,26.22,21.94,93.62
43,43.25,12.7,,28.83,88.53,16.95,41.15,9.11,3.53,74.35,7.31,,82.31,9.89,48.91,151.95,55.53,89.34,27.02,17.63,5.55,15.19,33.49,24.86,20.65,89.2
44,39.34,14.12,,31.33,86.25,18.36,38.53,10.1,2.94,74.04,8.79,,91.94,9.85,42.15,155.15,46.22,88.1,25.05,18.2,6.61,13.67,35.63,26.04,25.51,96.58
45,41.8,12.91,,36.86,83.08,19.42,41.15,10.43,3.55,75.89,7.94,,93.98,9.53,41.94,157.4,49.68,92.49,27.34,19.1,6.2,13.04,33.25,22.98,24.03,102.67
46,36.34,13.17,,40.42,83.14,20.33,30.04,9.44,3.16,70.52,7.57,,92.68,8.52,48.36,136.58,44.15,93.09,27.17,19.53,6.18,12.45,30.66,24.43,26.66,94.97
47,33.48,12.01,,37.71,85.94,19.06,30.62,9.57,2.52,67.99,7.01,,90.07,7.92,45.31,125.58,44.76,96.17,26.4,16.07,5.98,13.44,33.45,24.85,26.98,88.2
48,28.85,10.98,,46.99,82.7,19.35,32.38,8.63,2.71,58.87,5.18,,94.25,8.23,45.57,142.62,45.4,100.1,26.33,19.66,5.7,12.57,33.87,21.89,26.56,98.53
