Target Name,Ticker,Start Date,End Date
CLOROX CO /DE/,CLX,2011-08-15,2016-08-15
COMMERCIAL METALS CO,CMC,2012-02-14,2017-02-14
"AVIS BUDGET GROUP, INC.",CAR,2012-02-14,2017-02-14
"AVID TECHNOLOGY, INC.",AVID,2012-08-14,2017-08-14
"PEPSICO, INC.",PEP,2012-11-14,2017-11-14
FLOWSERVE CORP,FLS,2012-11-14,2017-11-14
ABERCROMBIE & FITCH CO,ANF,2012-11-14,2017-11-14
OSHKOSH CORP,OSK,2012-11-15,2017-11-15
SCHOOL SPECIALTY INC,SCOO,2013-02-14,2018-02-14
VIAD CORP,VVI,2013-02-14,2018-02-14
"EXTREME NETWORKS, INC.",EXTR,2013-05-06,2018-05-06
PROGRESS SOFTWARE CORP /MA,PRGS,2013-05-06,2018-05-06
EMERSON RADIO CORP.,MSN,2013-05-15,2018-05-15
DELL INC,DELL,2013-08-13,2018-08-13
TRANSACT TECHNOLOGIES INC,TACT,2013-08-14,2018-08-14
GENWORTH FINANCIAL INC,GNW,2013-08-15,2018-08-15
"JAKKS PACIFIC, INC.",JAKK,2013-11-12,2018-11-12
PLUG POWER INC,PLUG,2014-02-06,2019-02-06
"RADNET, INC.",RDNT,2014-02-14,2019-02-14
"DSP GROUP, INC.",DSPG,2014-02-14,2019-02-14
ILLINOIS TOOL WORKS INC,ITW,2014-02-14,2019-02-14
MARTIN MARIETTA MATERIALS INC,MLM,2014-02-14,2019-02-14
VULCAN MATERIALS CO,VMC,2014-02-14,2019-02-14
"PIXELWORKS, INC",PXLW,2014-03-10,2019-03-10
"VIVUS, INC.",VVUSQ,2014-05-14,2019-05-14
LENNAR CORPORATION,LEN,2014-05-14,2019-05-14
VIVUS INC,VVUSQ,2014-05-14,2019-05-14
"PERNIX THERAPEUTICS HOLDINGS, INC.",PTX,2014-05-15,2019-05-15
"COMSCORE, INC.",SCOR,2014-05-15,2019-05-15
ABRAXAS PETROLEUM CORP,AXAS,2014-06-12,2019-06-12
TRIPLE S MANAGEMENT CORP,GTS,2014-08-14,2019-08-14
NABORS INDUSTRIES LTD,NBR,2014-08-14,2019-08-14
HEWLETT-PACKARD COMPANY,HPE,2014-08-14,2019-08-14
TIMKEN CO,TKR,2014-08-14,2019-08-14
REGIS CORP,RGS,2014-08-14,2019-08-14
"RAND LOGISTICS, INC.",RLOG,2014-11-12,2019-11-12
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",MDRX,2014-11-14,2019-11-14
"QEP RESOURCES, INC.",QEP,2014-11-14,2019-11-14
PFSWEB INC,PFSW,2014-11-14,2019-11-14
INTEGRATED DEVICE TECHNOLOGY INC,IDTI,2015-02-17,2020-02-17
USA TRUCK INC,USAK,2015-05-15,2020-05-15
NETFLIX INC,NFLX,2015-05-15,2020-05-15
SUPERNUS PHARMACEUTICALS INC,SUPN,2015-05-15,2020-05-15
CREDIT ACCEPTANCE CORP,CACC,2015-05-15,2020-05-15
WORLD ACCEPTANCE CORP,WRLD,2015-05-15,2020-05-15
CENTRAL PACIFIC FINANCIAL CORP,CPF,2015-06-08,2020-06-08
IRIDIUM COMMUNICATIONS INC.,IRDM,2015-08-14,2020-08-14
XOMA CORPORATION,XOMA,2015-08-14,2020-08-14
