Target Name,Ticker,Start Date,End Date
ABERCROMBIE & FITCH CO,ANF,2010-11-14,2017-11-14
AEROVIRONMENT INC,,2012-11-14,2019-11-14
"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",MDRX,2012-11-14,2019-11-14
"AVID TECHNOLOGY, INC.",AVID,2010-08-14,2017-08-14
"AVIS BUDGET GROUP, INC.",CAR,2010-02-14,2017-02-14
CLOROX CO /DE/,CLX,2009-08-15,2016-08-15
COMMERCIAL METALS CO,CMC,2010-02-14,2017-02-14
"COMSCORE, INC.",SCOR,2012-05-15,2019-05-15
"DINEEQUITY, INC",,2011-08-14,2018-08-14
"DSP GROUP, INC.",DSPG,2012-02-14,2019-02-14
EMERSON RADIO CORP.,MSN,2011-05-15,2018-05-15
"EXTREME NETWORKS, INC.",EXTR,2011-05-06,2018-05-06
FLOWSERVE CORP,FLS,2010-11-14,2017-11-14
GENWORTH FINANCIAL INC,GNW,2011-08-15,2018-08-15
"GLOWPOINT, INC.",,2012-08-14,2019-08-14
HEWLETT-PACKARD COMPANY,HPE,2012-08-14,2019-08-14
ILLINOIS TOOL WORKS INC,ITW,2012-02-14,2019-02-14
"JAKKS PACIFIC, INC.",JAKK,2011-11-12,2018-11-12
LENNAR CORPORATION,LEN,2012-05-14,2019-05-14
MARTIN MARIETTA MATERIALS INC,MLM,2012-02-14,2019-02-14
MCGRAW-HILL COMPANIES INC,,2011-02-14,2018-02-14
MODUSLINK GLOBAL SOLUTIONS INC,,2011-11-12,2018-11-12
OSHKOSH CORP,OSK,2010-11-15,2017-11-15
"PEPSICO, INC.",PEP,2010-11-14,2017-11-14
PFSWEB INC,PFSW,2012-11-14,2019-11-14
"PIXELWORKS, INC",PXLW,2012-03-10,2019-03-10
PROGRESS SOFTWARE CORP /MA,PRGS,2011-05-06,2018-05-06
"QEP RESOURCES, INC.",QEP,2012-11-14,2019-11-14
"RADNET, INC.",RDNT,2012-02-14,2019-02-14
REGIS CORP,RGS,2012-08-14,2019-08-14
TIMKEN CO,TKR,2012-08-14,2019-08-14
TRANSACT TECHNOLOGIES INC,TACT,2011-08-14,2018-08-14
TRIPLE S MANAGEMENT CORP,GTS,2012-08-14,2019-08-14
VALUEVISION MEDIA INC,,2012-11-14,2019-11-14
VIAD CORP,VVI,2011-02-14,2018-02-14
VULCAN MATERIALS CO,VMC,2012-02-14,2019-02-14
